Player & Team,Player,Team,Pos,TOI,PDO,ZSR,G/60,d ixGF,iCF/60,iSh%,A1/60,sA1,GA/60,d xGA,CA/60,PP Sample Size,Poss Entry Rate,Poss Entry %,Poss Exits Rate,Poss Exit %,Entries Denied Rate,Denial %,Avg
RYAN.GETZLAF.ANA,RYAN GETZLAF (ANA),ANA,F,9,5,5,5,7,3,7,10,8,3,3,6,4,7,6,9,7,,,6.5
SEAN.COUTURIER.PHI,SEAN COUTURIER (PHI),PHI,F,9,7,3,8,6,5,8,6,4,6,5,8,10,4,6,6,4,,,6.5
SEBASTIAN.AHO.CAR,SEBASTIAN AHO (CAR),CAR,F,7,5,6,7,6,8,6,8,8,3,4,5,4,9,5,5,9,,,6.5
STEVEN.STAMKOS.TBL,STEVEN STAMKOS (TBL),TBL,F,7,8,8,5,5,7,4,9,7,6,6,5,7,5,6,6,7,,,6.5
TAYLOR.HALL.NJD,TAYLOR HALL (NJD),NJD,F,7,6,6,8,5,9,5,8,7,3,4,5,6,10,8,5,7,,,6.5
TRAVIS.KONECNY.PHI,TRAVIS KONECNY (PHI),PHI,F,4,5,5,6,5,7,5,4,6,5,5,5,10,8,7,7,7,,,6.5
VICTOR.HEDMAN.TBL,VICTOR HEDMAN (TBL),TBL,D,9,7,6,8,6,9,6,6,6,6,6,5,7,5,7,6,6,3,5,6.5
WILLIAM.KARLSSON.VGK,WILLIAM KARLSSON (VGK),VGK,F,7,8,6,10,10,4,10,4,5,7,6,7,5,5,6,6,6,,,6.5
ALEX.KERFOOT.COL,ALEXANDER KERFOOT (COL),COL,F,4,8,5,8,10,1,10,7,6,5,5,5,4,5,8,10,5,,,6
ALEX.OVECHKIN.WSH,ALEX OVECHKIN (WSH),WSH,F,8,8,6,10,9,9,7,5,2,5,7,4,6,6,8,5,6,,,6
ANDREAS.BORGMAN.TOR,ANDREAS BORGMAN (TOR),TOR,D,1,7,7,6,7,5,7,5,8,3,4,5,5,8,6,7,5,7,7,6
ANTHONY.DUCLAIR.CHI,ANTHONY DUCLAIR (CHI),CHI,F,5,10,7,5,5,5,5,9,8,9,10,7,2,9,6,3,6,,,6
ANTHONY.MANTHA.DET,ANTHONY MANTHA (DET),DET,F,6,5,6,6,6,7,6,6,6,6,6,7,7,4,5,6,5,,,6
BRAYDEN.SCHENN.STL,BRAYDEN SCHENN (STL),STL,F,8,8,8,6,7,5,6,6,7,7,7,6,5,4,7,4,6,,,6
BRENDAN.GALLAGHER.MTL,BRENDAN GALLAGHER (MTL),MTL,F,5,4,4,8,4,10,5,3,5,5,4,4,7,8,7,7,6,,,6
BROCK.BOESER.VAN,BROCK BOESER (VAN),VAN,F,6,6,8,10,10,8,8,3,6,4,4,4,4,7,5,4,9,,,6
CHARLIE.MCAVOY.BOS,CHARLIE MCAVOY (BOS),BOS,D,7,8,7,5,6,3,8,9,4,8,7,9,5,6,5,3,8,3,8,6
CHRISTIAN.DJOOS.WSH,CHRISTIAN DJOOS (WSH),WSH,D,1,8,9,7,6,3,8,10,10,6,6,6,3,4,7,3,7,5,4,6
COLIN.MILLER.VGK,COLIN MILLER (VGK),VGK,D,4,4,9,5,4,8,4,8,4,4,2,9,5,5,5,7,6,4,7,6
DAMON.SEVERSON.NJD,DAMON SEVERSON (NJD),NJD,D,5,4,7,10,10,4,10,4,7,2,3,5,5,5,6,5,4,5,7,6
DARNELL.NURSE.EDM,DARNELL NURSE (EDM),EDM,D,6,6,5,7,4,8,6,7,6,6,6,7,6,8,6,6,6,3,4,6
DAVID.KREJCI.BOS,DAVID KREJCI (BOS),BOS,F,6,8,10,6,6,3,6,9,8,5,5,7,3,6,6,3,8,,,6
DOUGIE.HAMILTON.CGY,DOUGIE HAMILTON (CGY),CGY,D,6,5,6,7,5,10,5,7,5,6,6,7,6,6,6,6,4,3,5,6
